Actions,Ações,# apps/demo/doctypes/task/task.form.ts:18
Assignee,Responsável,# demo.doctypes.project.project.doctype
Code,Código,# demo.doctypes.project.project.doctype
Complete,Concluir,# apps/demo/doctypes/task/task.form.ts:19
Completed,Concluída,# demo.doctypes.project.project.doctype
Completed at,Concluída em,# demo.doctypes.task.task.doctype
Completed on,Concluído em,# demo.doctypes.project_milestone.project_milestone.doctype
Demo: Projects,Exemplo: Projetos,# demo app
Description,Descrição,# demo.doctypes.project.project.doctype
Due date,Data limite,# demo.doctypes.project_milestone.project_milestone.doctype
Due date before,Data limite até,# demo report
End date,Data final,# demo.doctypes.project.project.doctype
High,Alta,# demo.doctypes.task.task.doctype
In progress,Em andamento,# demo.doctypes.project.project.doctype
Invalid dates,Datas inválidas,# apps/demo/doctypes/project/project.controller.ts:7
Invalid due date,Prazo inválido,# apps/demo/doctypes/task/task.controller.ts:24
Invalid milestone,Marco inválido,# apps/demo/doctypes/project/project.controller.ts:17
Low,Baixa,# demo.doctypes.task.task.doctype
Medium,Média,# demo.doctypes.task.task.doctype
Milestone {0} cannot be completed before the project starts.,O marco {0} não pode ser concluído antes do início do projeto.,# apps/demo/doctypes/project/project.controller.ts:16
Milestones,Marcos,# demo.doctypes.project.project.doctype
Open,Aberta,# demo.doctypes.task.task.doctype
Open Tasks,Tarefas Abertas,# demo workspace
Overdue,Atrasada,# demo.doctypes.task.task.doctype
Overdue Tasks,Tarefas Atrasadas,# demo workspace
Overview,Visão Geral,# demo workspace
Planned,Planejado,# demo.doctypes.project.project.doctype
Planning,Planejamento,# demo workspace
Priority,Prioridade,# demo.doctypes.task.task.doctype
Progress,Progresso,# demo.doctypes.project.project.doctype
Progress: {0}%,Progresso: {0}%,# apps/demo/doctypes/project/project.form.ts:7
Project,Projeto,# demo.doctypes.project.project.doctype
Project Milestone,Marco Projeto,# demo.doctypes.project_milestone.project_milestone.doctype
Projects,Projetos,# demo workspace
Projects in Progress,Projetos em Andamento,# demo workspace
Quantity,Quantidade,# apps/demo/reports/tasks_by_status.report.ts:26
Reopen,Reabrir,# apps/demo/doctypes/task/task.form.ts:20
Reports,Relatórios,# demo workspace
Share (%),Participação (%),# apps/demo/reports/tasks_by_status.report.ts:27
Start,Iniciar,# apps/demo/doctypes/task/task.form.ts:18
Start date,Data de início,# demo.doctypes.project.project.doctype
Status,Status,# apps/demo/reports/tasks_by_status.report.ts:25
Task,Tarefa,# demo.doctypes.task.task.doctype
Tasks,Tarefas,# apps/demo/doctypes/project/project.form.ts:8
Tasks by Status,Tarefas por Status,# demo workspace
The due date cannot be earlier than the project start ({0}).,A data limite não pode ser anterior ao início do projeto ({0}).,# apps/demo/doctypes/task/task.controller.ts:23
The end date cannot be earlier than the start date.,A data final não pode ser anterior à data de início.,# apps/demo/doctypes/project/project.controller.ts:7
Title,Título,# demo.doctypes.project.project.doctype
Total,Total,# apps/demo/reports/tasks_by_status.report.ts:30
Tracking,Acompanhamento,# demo workspace
